subjectid,gender,birthdate,genotype,cagenumber,health,cagemates,experimenter,tasktypedone,notes,intensityofcost1,intensityofcost2,intensityofcost3,intensityofcost4,costprobability1,costprobability2,costprobability3,costprobability4,rewardconcentration1,rewardconcentration2,rewardconcentration3,rewardconcentration4,rewardvolume1,rewardvolume2,rewardvolume3,rewardvolume4,rewardprobability1,rewardprobability2,rewardprobability3,rewardprobability4,mazenumber,approachavoidtimestamp,approachavoid,playstarttrialtone,presentcost,lightlevel,referencetime,videostartime,feeder,stoptrack,trialname,detectionsettings,trialcontrolsettings,referenceduration,animalid,mazeofferdelivery,mazenoofferdelivery,starttime,recordingafter,recordingduration,trialduration,mazecostoff,coordinatetimes,xcoordinates,ycoordinates,presentcostend,costpresenetationfinish,stopincopixrecording,decisionmakingtime,startincopixrecording,date,activezonetimestamp,activezonevalue,presentcostontimestamp,costacknowledgementtimestamp,deliveryacknowledgementtimestamp,coordinatetimes2,xcoordinates2,ycoordinates2,xtail,ytail,xnose,ynose,direction,truextail,trueytail,truexnose,trueynose,truedirection,id
andrea,Female,07/06/2021,CRL: Long Evans,14294,N/A,Neftali,,P3,,20lux,168lux,218lux,,Ukn%,Ukn%,Ukn%,,9%,5%,2%,0.5%,500ul,500ul,500ul,500ul,25%,25%,25%,25%,maze 2,0,0.000000,2,NOT FOUND IN NODULUS,1,03/03/2022 10:39:25.2,03/03/2022 10:39:25.2,2,NOT FOUND IN NODULUS,Trial    12,v.1 Detection Settings,P3 L3,0:00:55.5,Andrea,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,03/03/2022 10:39:25.2,0:00:07.0,0:00:48.5,0:00:55.5,NOT FOUND IN NODULUS,,,,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,03/03/2022,8.6,22.000000,8.6,8.6,12.5,,,,,,,,,,,,,,135999
neftali,Female,07/06/2021,CRL: Long Evans,14294,N/A,Andrea,,P3,,20lux,168lux,218lux,,Ukn%,Ukn%,Ukn%,,9%,5%,2%,0.5%,500ul,500ul,500ul,500ul,25%,25%,25%,25%,maze 3,0,0.000000,2,NOT FOUND IN NODULUS,1,03/03/2022 10:39:25.2,03/03/2022 10:39:25.2,.,NOT FOUND IN NODULUS,Trial    12,v.1 Detection Settings,P3 L3,0:00:55.5,Neftali,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,03/03/2022 10:39:25.2,0:00:07.0,0:00:48.5,0:00:55.5,NOT FOUND IN NODULUS,,,,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,03/03/2022,0,0.000000,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,41.4,,,,,,,,,,,,,,136000
fiona,Female,07/06/2021,CRL: Long Evans,14295,N/A,Juana,,P3,,20lux,168lux,218lux,,Ukn%,Ukn%,Ukn%,,9%,5%,2%,0.5%,500ul,500ul,500ul,500ul,25%,25%,25%,25%,maze 4,10.7,1.000000,2,NOT FOUND IN NODULUS,1,03/03/2022 10:39:25.2,03/03/2022 10:39:25.2,3,NOT FOUND IN NODULUS,Trial    12,v.1 Detection Settings,P3 L3,0:00:55.5,Fiona,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,03/03/2022 10:39:25.2,0:00:07.0,0:00:48.5,0:00:55.5,NOT FOUND IN NODULUS,,,,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,03/03/2022,5.6,43.000000,NOT FOUND IN NODULUS,5.6,10.7,,,,,,,,,,,,,,136001
andrea,Female,07/06/2021,CRL: Long Evans,14294,N/A,Neftali,,P3,,20lux,168lux,218lux,,Ukn%,Ukn%,Ukn%,,9%,5%,2%,0.5%,500ul,500ul,500ul,500ul,25%,25%,25%,25%,maze 2,12.2,1.000000,2,NOT FOUND IN NODULUS,3,03/03/2022 10:40:49.2,03/03/2022 10:40:49.1,1,NOT FOUND IN NODULUS,Trial    13,v.1 Detection Settings,P3 L3,0:01:04.8,Andrea,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,03/03/2022 10:40:49.2,0:00:07.0,0:00:57.8,0:01:04.8,NOT FOUND IN NODULUS,,,,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,03/03/2022,5.6,21.000000,5.6,5.6,12.2,,,,,,,,,,,,,,136003
neftali,Female,07/06/2021,CRL: Long Evans,14294,N/A,Andrea,,P3,,20lux,168lux,218lux,,Ukn%,Ukn%,Ukn%,,9%,5%,2%,0.5%,500ul,500ul,500ul,500ul,25%,25%,25%,25%,maze 3,0,0.000000,2,NOT FOUND IN NODULUS,3,03/03/2022 10:40:49.2,03/03/2022 10:40:49.1,.,NOT FOUND IN NODULUS,Trial    13,v.1 Detection Settings,P3 L3,0:01:04.8,Neftali,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,03/03/2022 10:40:49.2,0:00:07.0,0:00:57.8,0:01:04.8,NOT FOUND IN NODULUS,,,,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,03/03/2022,0,0.000000,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,57.7,,,,,,,,,,,,,,136004
fiona,Female,07/06/2021,CRL: Long Evans,14295,N/A,Juana,,P3,,20lux,168lux,218lux,,Ukn%,Ukn%,Ukn%,,9%,5%,2%,0.5%,500ul,500ul,500ul,500ul,25%,25%,25%,25%,maze 4,10.7,1.000000,2,NOT FOUND IN NODULUS,3,03/03/2022 10:40:49.2,03/03/2022 10:40:49.1,1,NOT FOUND IN NODULUS,Trial    13,v.1 Detection Settings,P3 L3,0:01:04.8,Fiona,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,03/03/2022 10:40:49.2,0:00:07.0,0:00:57.8,0:01:04.8,NOT FOUND IN NODULUS,,,,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,03/03/2022,5.6,41.000000,5.6,5.6,10.7,,,,,,,,,,,,,,136005
andrea,Female,07/06/2021,CRL: Long Evans,14294,N/A,Neftali,,P3,,20lux,168lux,218lux,,Ukn%,Ukn%,Ukn%,,9%,5%,2%,0.5%,500ul,500ul,500ul,500ul,25%,25%,25%,25%,maze 2,0,0.000000,2,NOT FOUND IN NODULUS,1,03/03/2022 11:06:24.0,03/03/2022 11:06:23.9,3,NOT FOUND IN NODULUS,Trial    42,v.1 Detection Settings,P3 L1 Opposite,0:01:23.6,Andrea,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,03/03/2022 11:06:24.0,0:00:07.0,0:01:16.6,0:01:23.6,NOT FOUND IN NODULUS,,,,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,03/03/2022,6.6,23.000000,6.6,6.6,13.2,,,,,,,,,,,,,,136119
neftali,Female,07/06/2021,CRL: Long Evans,14294,N/A,Andrea,,P3,,20lux,168lux,218lux,,Ukn%,Ukn%,Ukn%,,9%,5%,2%,0.5%,500ul,500ul,500ul,500ul,25%,25%,25%,25%,maze 3,0,0.000000,2,NOT FOUND IN NODULUS,1,03/03/2022 11:06:24.0,03/03/2022 11:06:23.9,.,NOT FOUND IN NODULUS,Trial    42,v.1 Detection Settings,P3 L1 Opposite,0:01:23.6,Neftali,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,03/03/2022 11:06:24.0,0:00:07.0,0:01:16.6,0:01:23.6,NOT FOUND IN NODULUS,,,,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,03/03/2022,0,0.000000,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,76.5,,,,,,,,,,,,,,136120
fiona,Female,07/06/2021,CRL: Long Evans,14295,N/A,Juana,,P3,,20lux,168lux,218lux,,Ukn%,Ukn%,Ukn%,,9%,5%,2%,0.5%,500ul,500ul,500ul,500ul,25%,25%,25%,25%,maze 4,10.8,1.000000,2,NOT FOUND IN NODULUS,1,03/03/2022 11:06:24.0,03/03/2022 11:06:23.9,4,NOT FOUND IN NODULUS,Trial    42,v.1 Detection Settings,P3 L1 Opposite,0:01:23.6,Fiona,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,03/03/2022 11:06:24.0,0:00:07.0,0:01:16.6,0:01:23.6,NOT FOUND IN NODULUS,,,,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,03/03/2022,5.6,44.000000,5.6,5.6,10.8,,,,,,,,,,,,,,136121
renata,Female,07/06/2021,CRL: Long Evans,14293,N/A,Raissa,,P3,,20lux,168lux,218lux,,Ukn%,Ukn%,Ukn%,,9%,5%,2%,0.5%,500ul,500ul,500ul,500ul,25%,25%,25%,25%,maze 2,0,0.000000,2,NOT FOUND IN NODULUS,1,03/03/2022 13:27:34.0,03/03/2022 13:27:33.9,3,NOT FOUND IN NODULUS,Trial     7,v.1 Detection Settings,P3 L1 Opposite,0:01:00.5,Renata,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,03/03/2022 13:27:34.0,0:00:07.0,0:00:53.5,0:01:00.5,NOT FOUND IN NODULUS,,,,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,03/03/2022,5.6,23.000000,5.6,5.6,12.2,,,,,,,,,,,,,,136147
shakira,Female,07/06/2021,CRL: Long Evans,14292,N/A,Harley,,P3,,20lux,168lux,218lux,,Ukn%,Ukn%,Ukn%,,9%,5%,2%,0.5%,500ul,500ul,500ul,500ul,25%,25%,25%,25%,maze 3,0,0.000000,2,NOT FOUND IN NODULUS,1,03/03/2022 13:27:34.0,03/03/2022 13:27:33.9,3,NOT FOUND IN NODULUS,Trial     7,v.1 Detection Settings,P3 L1 Opposite,0:01:00.5,Shakira,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,03/03/2022 13:27:34.0,0:00:07.0,0:00:53.5,0:01:00.5,NOT FOUND IN NODULUS,,,,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,03/03/2022,5.6,33.000000,5.6,6.4,53.4,,,,,,,,,,,,,,136148
juana,Female,07/06/2021,CRL: Long Evans,14295,N/A,Fiona,,P3,,20lux,168lux,218lux,,Ukn%,Ukn%,Ukn%,,9%,5%,2%,0.5%,500ul,500ul,500ul,500ul,25%,25%,25%,25%,maze 4,17,1.000000,2,NOT FOUND IN NODULUS,1,03/03/2022 13:27:34.0,03/03/2022 13:27:33.9,1,NOT FOUND IN NODULUS,Trial     7,v.1 Detection Settings,P3 L1 Opposite,0:01:00.5,Juana,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,03/03/2022 13:27:34.0,0:00:07.0,0:00:53.5,0:01:00.5,NOT FOUND IN NODULUS,,,,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,03/03/2022,11.9,41.000000,NOT FOUND IN NODULUS,11.9,17,,,,,,,,,,,,,,136149
renata,Female,07/06/2021,CRL: Long Evans,14293,N/A,Raissa,,P3,,20lux,168lux,218lux,,Ukn%,Ukn%,Ukn%,,9%,5%,2%,0.5%,500ul,500ul,500ul,500ul,25%,25%,25%,25%,maze 2,0,0.000000,2,NOT FOUND IN NODULUS,3,03/03/2022 13:54:43.2,03/03/2022 13:54:43.2,1,NOT FOUND IN NODULUS,Trial    38,v.1 Detection Settings,P3 L1 Opposite,0:00:46.3,Renata,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,03/03/2022 13:54:43.2,0:00:07.0,0:00:39.3,0:00:46.3,NOT FOUND IN NODULUS,,,,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,03/03/2022,5.6,21.000000,5.6,5.6,12.2,,,,,,,,,,,,,,136271
shakira,Female,07/06/2021,CRL: Long Evans,14292,N/A,Harley,,P3,,20lux,168lux,218lux,,Ukn%,Ukn%,Ukn%,,9%,5%,2%,0.5%,500ul,500ul,500ul,500ul,25%,25%,25%,25%,maze 3,0,0.000000,2,NOT FOUND IN NODULUS,3,03/03/2022 13:54:43.2,03/03/2022 13:54:43.2,.,NOT FOUND IN NODULUS,Trial    38,v.1 Detection Settings,P3 L1 Opposite,0:00:46.3,Shakira,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,03/03/2022 13:54:43.2,0:00:07.0,0:00:39.3,0:00:46.3,NOT FOUND IN NODULUS,,,,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,03/03/2022,0,0.000000,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,39.2,,,,,,,,,,,,,,136272
juana,Female,07/06/2021,CRL: Long Evans,14295,N/A,Fiona,,P3,,20lux,168lux,218lux,,Ukn%,Ukn%,Ukn%,,9%,5%,2%,0.5%,500ul,500ul,500ul,500ul,25%,25%,25%,25%,maze 4,0,0.000000,2,NOT FOUND IN NODULUS,3,03/03/2022 13:54:43.2,03/03/2022 13:54:43.2,3,NOT FOUND IN NODULUS,Trial    38,v.1 Detection Settings,P3 L1 Opposite,0:00:46.3,Juana,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,03/03/2022 13:54:43.2,0:00:07.0,0:00:39.3,0:00:46.3,NOT FOUND IN NODULUS,,,,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,03/03/2022,5.6,43.000000,5.6,5.6,10.7,,,,,,,,,,,,,,136273
raissa,Female,07/06/2021,CRL: Long Evans,14293,N/A,Renata,,P3,,20lux,168lux,218lux,,Ukn%,Ukn%,Ukn%,,9%,5%,2%,0.5%,500ul,500ul,500ul,500ul,25%,25%,25%,25%,maze 2,28.1,1.000000,2,NOT FOUND IN NODULUS,3,03/03/2022 15:12:13.4,03/03/2022 15:12:13.3,4,36.1,Trial     6,v.1 Detection Settings,P3 L1 Opposite,0:00:43.2,Raissa,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,03/03/2022 15:12:13.4,0:00:07.0,0:00:36.2,0:00:43.2,NOT FOUND IN NODULUS,,,,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,03/03/2022,5.6,24.000000,5.6,5.6,28.1,,,,,,,,,,,,,,136311
kryssia,Female,07/06/2021,CRL: Long Evans,14291,N/A,Raven,,P3,,20lux,168lux,218lux,,Ukn%,Ukn%,Ukn%,,9%,5%,2%,0.5%,500ul,500ul,500ul,500ul,25%,25%,25%,25%,maze 3,0,0.000000,2,NOT FOUND IN NODULUS,3,03/03/2022 15:12:13.4,03/03/2022 15:12:13.3,4,36.1,Trial     6,v.1 Detection Settings,P3 L1 Opposite,0:00:43.2,Kryssia,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,03/03/2022 15:12:13.4,0:00:07.0,0:00:36.2,0:00:43.2,NOT FOUND IN NODULUS,,,,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,03/03/2022,7.8,34.000000,7.8,8.9,14.9,,,,,,,,,,,,,,136312
