clusterLabels,clusterX,clusterY
aladdin 01-14-2022.mat,-4.48991233000058,-0.000180944477651477
aladdin 01-21-2022.mat,-5.00826171247193,-0.000120715048953087
aladdin 03-21-2022.mat,-5.27128652271323,-7.09170174828615e-05
aladdin 03-23-2022.mat,-4.2915324569262,-0.000198959764141579
aladdin 04-06-2022.mat,-4.99685603905656,-0.000101696325356799
aladdin 04-16-2022.mat,-6.97890319997103,-0.000118086908915063
aladdin 04-22-2022.mat,-4.86599538178241,-0.000102391299781977
aladdin 04-28-2022.mat,-5.26246803709133,-9.76532764733216e-05
aladdin 05-13-2022.mat,-4.72790311917372,-0.000138447207814841
aladdin 05-16-2022.mat,-5.2852137619849,-8.22333262645379e-05
aladdin 05-17-2022.mat,-6.93751732030129,-0.000122009989077803
aladdin 11-29-2021.mat,-5.19916694285392,-0.000105025725362609
aladdin 12-02-2021.mat,-5.49343333819537,-9.95081080807905e-05
aladdin 12-08-2021.mat,-5.1298307268026,-0.000122649851951796
aladdin 12-15-2021.mat,-5.16166566627651,-0.000136442548073747
alexis 01-13-2022.mat,-11.2462114419973,-5.80515873339275e-07
alexis 01-24-2022.mat,-5.37412965264237,-9.38659752244306e-05
alexis 01-28-2022.mat,-5.6367501741691,-0.000112029101584448
alexis 04-08-2022.mat,-5.176181561905,-0.000113925629374366
alexis 04-16-2022.mat,-5.11729728295246,-0.000154651282794755
alexis 04-22-2022.mat,-5.246864416496,-0.000100003501280552
alexis 04-26-2022.mat,-5.03062759779124,-0.000146981590631886
alexis 04-27-2022.mat,-5.55443211201974,-9.46061497878248e-05
alexis 05-04-2022.mat,-5.17808161803294,-0.000105727563577992
alexis 05-09-2022.mat,-4.30267776376401,-0.000110358259333737
alexis 05-10-2022.mat,-4.88206127559114,-0.000103152154510636
alexis 05-12-2022.mat,-4.42050518460996,-0.000135477799670222
alexis 05-13-2022.mat,-4.60511308359633,-9.82764561831606e-05
alexis 05-16-2022.mat,-4.86219131209408,-0.000102650166371535
alexis 05-17-2022.mat,-4.86219131209408,-0.000102650166371535
alexis 05-18-2022.mat,-4.94087573579962,-0.000102040184731251
alexis 12-09-2021.mat,-5.42887481207921,-0.000117003486775722
andrea 01-24-2022.mat,-5.09812047979709,-0.000120760065720523
andrea 01-26-2022.mat,-5.27235375849389,-0.000104076253761193
andrea 01-28-2022.mat,-6.41824636314429,-3.62847455963518e-05
andrea 03-11-2022.mat,-4.9628409367983,-0.000180349483577433
andrea 03-22-2022.mat,-4.67806097454233,-0.000162854465236445
andrea 03-24-2022.mat,-4.73396501887001,-0.00012498347561605
andrea 04-06-2022.mat,-5.06005079674027,-8.72623097520669e-05
andrea 04-07-2022.mat,-4.60190384278901,-0.000131209347192732
andrea 04-11-2022.mat,-4.90083250581489,-0.000111484872664771
andrea 04-12-2022.mat,-4.28747207278845,-0.000145484565958595
andrea 04-14-2022.mat,-4.72433014983224,-0.000136438809431653
andrea 04-15-2022.mat,-4.91478381327098,-0.000164199192537189
andrea 04-29-2022.mat,-5.12219196125166,-8.97913473414888e-05
andrea 05-04-2022.mat,-5.16803362751443,-8.27537373045794e-05
andrea 05-11-2022.mat,-4.09236912336845,-0.000169104482626989
andrea 05-16-2022.mat,-4.09236912336845,-0.000169104482626989
andrea 05-17-2022.mat,-4.09236912336845,-0.000169104482626989
andrea 11-10-2021.mat,-4.95630294341548,-6.74262815864409e-05
andrea 11-24-2021.mat,-4.50381089804338,-0.000137058460065042
carl 01-07-2022.mat,-4.9419563369607,-0.000105277581231399
carl 01-14-2022.mat,-4.9419563369607,-0.000105277581231399
carl 01-21-2022.mat,-4.53962211195022,-0.000174983436634779
carl 01-25-2022.mat,-4.53962211195022,-0.000174983436634779
carl 04-08-2022.mat,-4.58478700940394,-0.000116254981864823
carl 04-14-2022.mat,-6.22552064572271,-0.000153986457829492
carl 04-15-2022.mat,-6.81251757886063,-8.5120848402422e-05
carl 04-19-2022.mat,-4.97441887396501,-0.000102699276455562
carl 04-21-2022.mat,-3.66915150348945,-0.000298687643568813
carl 04-22-2022.mat,-5.18008568079329,-7.58124845490787e-05
carl 05-02-2022.mat,-4.62825669704448,-0.000106735455463887
carl 05-04-2022.mat,-4.7472138407199,-0.00012061853027538
carl 05-05-2022.mat,-4.69292578665266,-0.000137268048360818
carl 05-09-2022.mat,-4.69292578665266,-0.000137268048360818
carl 05-11-2022.mat,-4.90621043454603,-0.000107845998655639
carl 05-16-2022.mat,-4.79497568889918,-0.000128263613515624
carl 05-19-2022.mat,-4.79497568889918,-0.000128263613515624
fiona 01-06-2022.mat,-4.76330226549265,-0.000238603781315118
fiona 01-25-2022.mat,-4.8216503677994,-0.000116472730712553
fiona 01-26-2022.mat,-5.54094474217779,-9.40839699378489e-05
fiona 02-15-2022.mat,-5.48193323071135,-0.000107721821138602
fiona 02-17-2022.mat,-4.68428855148245,-0.000187656544501589
fiona 04-20-2022.mat,-4.87969670936579,-0.000151518798027765
fiona 05-11-2022.mat,-4.70151421969272,-0.00013216028941527
fiona 05-16-2022.mat,-4.70151421969272,-0.00013216028941527
fiona 05-20-2022.mat,-4.78210549591758,-9.62173612167975e-05
harley 01-06-2022.mat,-4.70300282716563,-9.92405835438031e-05
harley 01-12-2022.mat,-5.28107935571936,-9.25291265893235e-05
harley 01-26-2022.mat,-4.98078563915841,-0.000112010956259053
harley 01-28-2022.mat,-5.48109343388217,-8.4753551153311e-05
harley 04-03-2022.mat,-4.57445631226268,-0.00012410987425751
harley 04-06-2022.mat,-1.07345420103146,-0.00326963900315572
