ratClusterName,ratClusterCount,ratTotalAppearences
aladdin A1,28,53
aladdin A2,3,53
aladdin A3,22,53
aladdin B1,22,53
aladdin B2,28,53
aladdin B3,3,53
aladdin C1,3,53
aladdin C2,22,53
aladdin C3,28,53
aladdin D1,27,40
aladdin D2,10,40
aladdin D3,3,40
aladdin E1,3,40
aladdin E2,27,40
aladdin E3,10,40
aladdin F1,10,40
aladdin F2,3,40
aladdin F3,27,40
aladdin G1,29,36
aladdin G2,4,36
aladdin G4,3,36
aladdin H1,4,36
aladdin H2,29,36
aladdin H3,3,36
aladdin I1,31,36
aladdin I2,2,36
aladdin I3,3,36
aladdin J1,7,47
aladdin J2,8,47
aladdin J4,32,47
aladdin K1,8,47
aladdin K2,32,47
aladdin K3,7,47
aladdin L1,8,47
aladdin L2,6,47
aladdin L3,33,47
aladdin M1,13,44
aladdin M2,3,44
aladdin M3,28,44
aladdin N1,10,44
aladdin N2,13,44
aladdin N3,16,44
aladdin N4,5,44
aladdin O1,16,44
aladdin O2,28,44
alexis A1,16,44
alexis A2,3,44
alexis A3,25,44
alexis B1,25,44
alexis B2,16,44
alexis B3,3,44
alexis C1,3,44
alexis C2,25,44
alexis C3,16,44
alexis D1,21,23
alexis D2,1,23
alexis D3,1,23
alexis E1,1,23
alexis E2,21,23
alexis E3,1,23
alexis F1,1,23
alexis F2,1,23
alexis F3,21,23
alexis G1,21,36
alexis G2,10,36
alexis G3,1,36
alexis G4,4,36
alexis H1,11,36
alexis H2,21,36
alexis H3,4,36
alexis I1,22,36
alexis I2,10,36
alexis I3,4,36
alexis J1,12,35
alexis J2,1,35
alexis J4,22,35
alexis K1,1,35
alexis K2,22,35
alexis K3,12,35
alexis L1,1,35
alexis L2,12,35
alexis L3,22,35
alexis M1,20,46
alexis M2,9,46
alexis M3,17,46
alexis N1,14,46
alexis N2,20,46
alexis N3,12,46
alexis O1,29,46
alexis O2,17,46
andrea A1,22,50
andrea A2,5,50
andrea A3,23,50
andrea B1,23,50
andrea B2,22,50
andrea B3,5,50
andrea C1,5,50
andrea C2,23,50
andrea C3,22,50
andrea D1,31,35
andrea D2,4,35
andrea E2,31,35
andrea E3,4,35
andrea F1,4,35
andrea F3,31,35
andrea G1,20,25
andrea G3,1,25
andrea G4,4,25
andrea H1,1,25
andrea H2,20,25
andrea H3,4,25
andrea I1,20,25
andrea I2,1,25
andrea I3,4,25
andrea J1,5,39
andrea J2,1,39
andrea J3,5,39
andrea J4,28,39
andrea K1,1,39
andrea K2,28,39
andrea K3,10,39
andrea L1,1,39
andrea L2,10,39
andrea L3,28,39
andrea M1,18,51
andrea M2,4,51
andrea M3,29,51
andrea N1,13,51
andrea N2,18,51
andrea N3,18,51
andrea N4,2,51
andrea O1,22,51
andrea O2,29,51
barbie A3,1,1
barbie B1,1,1
barbie C2,1,1
barbie D1,2,2
barbie E2,2,2
barbie F3,2,2
barbie G1,1,1
barbie H2,1,1
barbie I1,1,1
barbie J1,1,1
barbie K3,1,1
barbie L2,1,1
bopeep A1,1,3
bopeep A2,1,3
bopeep A3,1,3
bopeep B1,1,3
bopeep B2,1,3
bopeep B3,1,3
bopeep C1,1,3
bopeep C2,1,3
bopeep C3,1,3
bopeep D1,1,3
bopeep D3,2,3
bopeep E1,2,3
bopeep E2,1,3
bopeep F2,2,3
bopeep F3,1,3
bopeep G1,5,5
bopeep H2,5,5
bopeep I1,5,5
bopeep J2,1,6
bopeep J3,1,6
bopeep J4,4,6
bopeep K1,1,6
bopeep K2,4,6
bopeep K3,1,6
bopeep L1,1,6
bopeep L2,1,6
bopeep L3,4,6
bopeep M1,3,4
bopeep M3,1,4
bopeep N2,3,4
bopeep N4,1,4
bopeep O1,3,4
bopeep O2,1,4
buttercup A1,3,8
buttercup A2,3,8
buttercup A3,2,8
buttercup B1,2,8
buttercup B2,3,8
buttercup B3,3,8
buttercup C1,3,8
buttercup C2,2,8
buttercup C3,3,8
buttercup D1,2,7
buttercup D2,2,7
buttercup D3,3,7
buttercup E1,3,7
buttercup E2,2,7
buttercup E3,2,7
buttercup F1,2,7
buttercup F2,3,7
buttercup F3,2,7
buttercup G1,7,10
buttercup G2,2,10
buttercup G4,1,10
buttercup H1,2,10
buttercup H2,7,10
buttercup H3,1,10
buttercup I1,7,10
buttercup I2,2,10
buttercup I3,1,10
buttercup J4,10,10
buttercup K2,10,10
buttercup L3,10,10
buttercup M1,2,6
buttercup M3,4,6
buttercup N1,2,6
buttercup N2,2,6
buttercup N3,2,6
buttercup O1,2,6
buttercup O2,4,6
carl A1,17,43
carl A2,6,43
carl A3,20,43
carl B1,20,43
carl B2,17,43
carl B3,6,43
carl C1,6,43
carl C2,20,43
carl C3,17,43
carl D1,24,32
carl D2,3,32
carl D3,5,32
carl E1,5,32
carl E2,24,32
carl E3,3,32
carl F1,3,32
carl F2,5,32
carl F3,24,32
carl G1,12,21
carl G2,2,21
carl G3,1,21
carl G4,6,21
carl H1,3,21
carl H2,12,21
carl H3,6,21
carl I1,12,21
carl I2,3,21
carl I3,6,21
carl J1,5,33
carl J2,4,33
carl J3,1,33
carl J4,23,33
carl K1,4,33
carl K2,23,33
carl K3,6,33
carl L1,4,33
carl L2,6,33
carl L3,23,33
carl M1,23,45
carl M2,2,45
carl M3,20,45
carl N1,10,45
carl N2,23,45
carl N3,10,45
carl N4,2,45
carl O1,25,45
carl O2,20,45
fiona A1,29,50
fiona A2,2,50
fiona A3,19,50
fiona B1,19,50
fiona B2,29,50
fiona B3,2,50
fiona C1,2,50
fiona C2,19,50
fiona C3,29,50
fiona D1,24,31
fiona D2,3,31
fiona D3,4,31
fiona E1,4,31
fiona E2,24,31
fiona E3,3,31
fiona F1,3,31
fiona F2,4,31
fiona F3,24,31
fiona G1,39,43
fiona G2,2,43
fiona G4,2,43
fiona H1,2,43
fiona H2,39,43
fiona H3,2,43
fiona I1,39,43
fiona I2,2,43
fiona I3,2,43
fiona J1,4,33
fiona J2,6,33
fiona J3,2,33
fiona J4,21,33
fiona K1,6,33
fiona K2,21,33
fiona K3,6,33
fiona L1,6,33
fiona L2,6,33
fiona L3,21,33
fiona M1,19,35
fiona M2,6,35
fiona M3,10,35
fiona N1,10,35
fiona N2,19,35
fiona N3,6,35
fiona O1,25,35
fiona O2,10,35
harley A1,23,59
harley A2,6,59
harley A3,30,59
harley B1,30,59
harley B2,23,59
harley B3,6,59
harley C1,6,59
harley C2,30,59
harley C3,23,59
harley D1,28,35
harley D2,4,35
harley D3,3,35
harley E1,3,35
harley E2,28,35
harley E3,4,35
harley F1,4,35
harley F2,3,35
harley F3,28,35
harley G1,22,31
harley G2,1,31
harley G3,1,31
harley G4,7,31
harley H1,2,31
harley H2,22,31
harley H3,7,31
harley I1,22,31
harley I2,2,31
harley I3,7,31
harley J1,8,44
harley J2,4,44
harley J3,1,44
harley J4,31,44
harley K1,4,44
harley K2,31,44
harley K3,9,44
harley L1,4,44
harley L2,9,44
harley L3,31,44
harley M1,19,50
