name_and_cluster,numberOfAppearences
aladdin|A1,10
aladdin|A2,15
aladdin|A3,24
aladdin|D1,9
aladdin|D2,16
aladdin|D3,6
aladdin|G1,25
aladdin|G2,3
aladdin|G3,0
aladdin|G4,6
aladdin|J1,15
aladdin|J2,5
aladdin|J3,8
aladdin|J4,16
aladdin|M1,5
aladdin|M2,15
aladdin|M3,4
aladdin|M4,21
alexis|A1,3
alexis|A2,11
alexis|A3,26
alexis|D1,3
alexis|D2,12
alexis|D3,8
alexis|G1,24
alexis|G2,4
alexis|G3,2
alexis|G4,3
alexis|J1,17
alexis|J2,5
alexis|J3,3
alexis|J4,12
alexis|M1,2
alexis|M2,23
alexis|M3,2
alexis|M4,18
andrea|A1,2
andrea|A2,13
andrea|A3,24
andrea|D1,3
andrea|D2,22
andrea|D3,1
andrea|G1,23
andrea|G2,1
andrea|G3,0
andrea|G4,1
andrea|J1,19
andrea|J2,3
andrea|J3,1
andrea|J4,12
andrea|M1,4
andrea|M2,17
andrea|M3,9
andrea|M4,16
barbie|A1,0
barbie|A2,0
barbie|A3,0
barbie|D1,0
barbie|D2,0
barbie|D3,0
barbie|G1,0
barbie|G2,0
barbie|G3,0
barbie|G4,0
barbie|J1,0
barbie|J2,0
barbie|J3,0
barbie|J4,0
barbie|M1,0
barbie|M2,5
barbie|M3,1
barbie|M4,0
bopeep|A1,0
bopeep|A2,0
bopeep|A3,0
bopeep|D1,0
bopeep|D2,0
bopeep|D3,0
bopeep|G1,0
bopeep|G2,0
bopeep|G3,0
bopeep|G4,0
bopeep|J1,0
bopeep|J2,0
bopeep|J3,0
bopeep|J4,0
bopeep|M1,0
bopeep|M2,8
bopeep|M3,0
bopeep|M4,0
buttercup|A1,0
buttercup|A2,0
buttercup|A3,0
buttercup|D1,0
buttercup|D2,0
buttercup|D3,0
buttercup|G1,0
buttercup|G2,0
buttercup|G3,0
buttercup|G4,0
buttercup|J1,0
buttercup|J2,0
buttercup|J3,0
buttercup|J4,0
buttercup|M1,1
buttercup|M2,2
buttercup|M3,1
buttercup|M4,3
buzz|A1,0
buzz|A2,0
buzz|A3,0
buzz|D1,0
buzz|D2,0
buzz|D3,0
buzz|G1,0
buzz|G2,0
buzz|G3,0
buzz|G4,0
buzz|J1,0
buzz|J2,0
buzz|J3,0
buzz|J4,0
buzz|M1,0
buzz|M2,4
buzz|M3,1
buzz|M4,3
captain|A1,0
captain|A2,0
captain|A3,0
captain|D1,0
captain|D2,0
captain|D3,0
captain|G1,0
captain|G2,0
captain|G3,0
captain|G4,0
captain|J1,0
captain|J2,0
captain|J3,0
captain|J4,0
captain|M1,0
captain|M2,3
captain|M3,0
captain|M4,5
carl|A1,4
