name_and_cluster,numberOfAppearences
aladdin|A1,0
aladdin|A2,4
aladdin|A3,1
aladdin|D1,3
aladdin|D2,1
aladdin|D3,0
aladdin|G1,4
aladdin|G2,0
aladdin|G3,0
aladdin|G4,0
aladdin|J1,0
aladdin|J2,3
aladdin|J3,0
aladdin|J4,1
aladdin|M1,0
aladdin|M2,2
aladdin|M3,0
aladdin|M4,4
alexis|A1,1
alexis|A2,1
alexis|A3,3
alexis|D1,0
alexis|D2,1
alexis|D3,0
alexis|G1,1
alexis|G2,0
alexis|G3,0
alexis|G4,0
alexis|J1,1
alexis|J2,1
alexis|J3,0
alexis|J4,0
alexis|M1,0
alexis|M2,0
alexis|M3,3
alexis|M4,2
andrea|A1,0
andrea|A2,1
andrea|A3,3
andrea|D1,0
andrea|D2,1
andrea|D3,3
andrea|G1,2
andrea|G2,0
andrea|G3,0
andrea|G4,0
andrea|J1,0
andrea|J2,2
andrea|J3,0
andrea|J4,1
andrea|M1,0
andrea|M2,2
andrea|M3,0
andrea|M4,3
barbie|A1,0
barbie|A2,0
barbie|A3,0
barbie|D1,0
barbie|D2,0
barbie|D3,0
barbie|G1,0
barbie|G2,0
barbie|G3,0
barbie|G4,0
barbie|J1,0
barbie|J2,0
barbie|J3,0
barbie|J4,0
barbie|M1,0
barbie|M2,0
barbie|M3,0
barbie|M4,0
bopeep|A1,0
bopeep|A2,0
bopeep|A3,0
bopeep|D1,0
bopeep|D2,0
bopeep|D3,0
bopeep|G1,0
bopeep|G2,0
bopeep|G3,0
bopeep|G4,0
bopeep|J1,0
bopeep|J2,0
bopeep|J3,0
bopeep|J4,0
bopeep|M1,0
bopeep|M2,0
bopeep|M3,0
bopeep|M4,0
buttercup|A1,0
buttercup|A2,0
buttercup|A3,0
buttercup|D1,0
buttercup|D2,0
buttercup|D3,0
buttercup|G1,0
buttercup|G2,0
buttercup|G3,0
buttercup|G4,0
buttercup|J1,0
buttercup|J2,0
buttercup|J3,0
buttercup|J4,0
buttercup|M1,0
buttercup|M2,0
buttercup|M3,0
buttercup|M4,0
buzz|A1,0
buzz|A2,0
buzz|A3,0
buzz|D1,0
buzz|D2,0
buzz|D3,0
buzz|G1,0
buzz|G2,0
buzz|G3,0
buzz|G4,0
buzz|J1,0
buzz|J2,0
buzz|J3,0
buzz|J4,0
buzz|M1,0
buzz|M2,0
buzz|M3,0
buzz|M4,0
captain|A1,0
captain|A2,0
captain|A3,0
captain|D1,0
captain|D2,0
captain|D3,0
captain|G1,0
captain|G2,0
captain|G3,0
captain|G4,0
captain|J1,0
captain|J2,0
captain|J3,0
captain|J4,0
captain|M1,0
captain|M2,0
captain|M3,0
captain|M4,0
carl|A1,0
carl|A2,2
carl|A3,2
carl|D1,0
carl|D2,2
carl|D3,0
carl|G1,2
carl|G2,0
carl|G3,0
carl|G4,0
carl|J1,1
carl|J2,0
carl|J3,0
carl|J4,2
carl|M1,0
carl|M2,2
carl|M3,1
carl|M4,3
