Cluster_Name,Male_Probability,Female_Probability
A1,0.37037037037037,0.401459854014599
A2,0.0555555555555556,0.0656934306569343
A3,0.574074074074074,0.532846715328467
D1,0.136363636363636,0.0421052631578947
D2,0.727272727272727,0.842105263157895
D3,0.136363636363636,0.115789473684211
G1,0.767123287671233,0.641304347826087
G2,0.0821917808219178,0.152173913043478
G3,0.0136986301369863,0.0108695652173913
G4,0.136986301369863,0.195652173913043
J1,0.139240506329114,0.08
J2,0.69620253164557,0.666666666666667
J3,0,0
J4,0.164556962025316,0.253333333333333
M1,0.00746268656716418,0.00632911392405063
M2,0.485074626865672,0.525316455696203
M3,0.171641791044776,0.189873417721519
M4,0.335820895522388,0.278481012658228
