ratClusterName,ratClusterCount,ratTotalAppearences
aladdin A1,6,13
aladdin A2,1,13
aladdin A3,6,13
aladdin D1,7,13
aladdin D2,1,13
aladdin D3,5,13
aladdin G1,11,11
aladdin J1,4,11
aladdin J2,3,11
aladdin J4,4,11
aladdin M1,8,14
aladdin M2,3,14
aladdin M3,3,14
alexis A1,2,6
alexis A2,1,6
alexis A3,3,6
alexis D1,7,7
alexis G1,5,6
alexis G2,1,6
alexis J1,1,5
alexis J4,4,5
alexis M1,5,13
alexis M2,3,13
alexis M3,5,13
andrea A1,6,10
andrea A3,4,10
andrea D1,8,8
andrea G1,6,6
andrea J1,3,5
andrea J4,2,5
andrea M1,7,12
andrea M2,4,12
andrea M3,1,12
carl A1,7,9
carl A3,2,9
carl D1,10,10
carl G1,4,5
carl G2,1,5
carl J1,2,10
carl J4,8,10
carl M1,12,14
carl M3,2,14
fiona A1,6,12
fiona A3,6,12
fiona D1,6,8
fiona D2,2,8
fiona G1,6,11
fiona G2,4,11
fiona G4,1,11
fiona J1,2,7
fiona J2,1,7
fiona J4,4,7
fiona M1,5,10
fiona M2,3,10
fiona M3,2,10
harley A1,1,14
harley A2,1,14
harley A3,12,14
harley D1,2,4
harley D3,2,4
harley G1,4,8
harley G2,1,8
harley G4,3,8
harley J2,2,6
harley J4,4,6
harley M1,9,14
harley M2,4,14
harley M3,1,14
jafar A1,5,11
jafar A2,2,11
jafar A3,4,11
jafar D1,2,4
jafar D3,2,4
jafar G1,2,5
jafar G2,2,5
jafar G4,1,5
jafar J2,2,6
jafar J4,4,6
jafar M1,9,11
jafar M2,1,11
jafar M3,1,11
jimi A1,5,12
jimi A3,7,12
jimi D1,7,7
jimi G1,6,8
jimi G2,2,8
jimi J1,1,5
jimi J2,1,5
jimi J4,3,5
jimi M1,1,13
jimi M2,2,13
jimi M3,10,13
jr A3,12,12
jr D1,2,4
jr D2,1,4
jr D3,1,4
jr G1,2,6
jr G2,2,6
jr G4,2,6
jr J1,2,9
jr J2,1,9
jr J4,6,9
jr M1,4,14
jr M2,5,14
jr M3,5,14
juana A1,8,12
juana A2,1,12
juana A3,3,12
juana D1,4,6
juana D2,1,6
juana D3,1,6
juana G1,2,8
juana G2,4,8
juana G4,2,8
juana J1,4,8
juana J4,4,8
juana M1,9,13
juana M2,1,13
juana M3,3,13
kobe A1,4,14
kobe A2,2,14
kobe A3,8,14
kobe D1,1,5
kobe D2,4,5
kobe G1,11,11
kobe J2,1,9
kobe J4,8,9
kobe M1,6,14
kobe M2,1,14
kobe M3,7,14
kryssia A1,6,12
kryssia A3,6,12
kryssia D1,8,8
kryssia G1,6,6
kryssia J1,2,7
kryssia J4,5,7
kryssia M1,8,14
kryssia M3,6,14
mike A3,6,6
mike D1,1,4
mike D2,3,4
mike G1,7,9
mike G2,2,9
mike J1,1,6
mike J4,5,6
mike M1,6,13
mike M2,6,13
mike M3,1,13
neftali A1,6,13
neftali A2,2,13
neftali A3,5,13
neftali D1,9,9
neftali G1,9,12
neftali G2,3,12
neftali J4,5,5
neftali M1,6,13
neftali M2,2,13
neftali M3,5,13
raissa A1,3,12
raissa A2,2,12
raissa A3,7,12
raissa D1,6,10
raissa D2,4,10
raissa G1,4,6
raissa G4,2,6
raissa J1,1,6
raissa J4,5,6
raissa M1,7,13
raissa M2,2,13
raissa M3,4,13
raven A1,5,12
raven A3,7,12
raven D1,8,8
raven G1,5,7
raven G2,2,7
raven J1,2,9
raven J2,2,9
raven J4,5,9
raven M1,6,14
raven M2,3,14
raven M3,5,14
renata A1,3,11
renata A3,8,11
renata D1,8,11
renata D2,3,11
renata G1,1,6
renata G2,2,6
renata G4,3,6
renata J1,2,7
renata J2,1,7
renata J4,4,7
renata M1,3,14
renata M2,8,14
renata M3,3,14
sarah A1,3,13
sarah A2,1,13
sarah A3,9,13
sarah D1,8,9
sarah D2,1,9
sarah G1,8,10
sarah G2,2,10
sarah J1,2,4
sarah J4,2,4
sarah M1,11,14
sarah M3,3,14
scar A1,6,11
scar A3,5,11
scar D1,7,8
scar D3,1,8
scar G1,3,7
scar G2,2,7
scar G4,2,7
scar J1,1,7
scar J2,2,7
scar J4,4,7
scar M1,4,14
scar M2,1,14
scar M3,9,14
shakira A1,6,10
shakira A2,1,10
shakira A3,3,10
shakira D1,6,7
shakira D3,1,7
shakira G1,3,6
shakira G4,3,6
shakira J4,6,6
shakira M1,7,14
shakira M3,7,14
simba A1,5,11
simba A3,6,11
simba D1,6,6
simba G1,2,3
simba G4,1,3
simba J1,1,8
simba J2,1,8
simba J4,6,8
simba M1,6,14
simba M2,4,14
simba M3,4,14
sully A1,2,9
sully A2,1,9
sully A3,6,9
sully D1,5,5
sully G1,8,8
sully J1,1,8
sully J4,7,8
sully M1,9,13
sully M3,4,13
