clusterLabels,clusterX,clusterY
aladdin 01-20-2022.mat,-12.0275956647888,-13.9904425719988
alexis 04-27-2022.mat,-11.9001512353943,-11.2162819568955
carl 04-06-2022.mat,-12.0935028786382,-14.0805035413924
harley 04-16-2022.mat,-12.6198593008183,-14.1657684030163
jafar 01-19-2022.mat,-12.9226380822555,-14.8248083089624
jafar 03-08-2022.mat,-11.9720456739641,-14.574393560711
jafar 03-21-2022.mat,-11.9720456739641,-14.574393560711
jimi 04-08-2022.mat,-13.1782394865716,-15.2005710130424
johnny 01-03-2022.mat,-12.831499849766,-14.0825020059714
johnny 02-16-2022.mat,-11.4014079590613,-13.2180077731825
johnny 11-30-2021.mat,-11.8905071016077,-13.9068398213963
kobe 04-14-2022.mat,-12.6679363091999,-14.1064140105214
raven 03-22-2022.mat,-12.0249291914001,-13.6159349011769
raven 04-25-2022.mat,-12.8495662564192,-14.1799015587937
raven 04-26-2022.mat,-12.8495662564192,-14.1799015587937
sarah 04-26-2022.mat,-12.2947105014966,-14.1510927389221
simba 05-09-2022.mat,-12.6608092441656,-14.6283661190342
sully 03-21-2022.mat,-12.5822174034084,-14.1100850464121
