clusterLabels,clusterX,clusterY
aladdin 01-27-2022.mat,-13.9279597616464,-14.2383089631208
aladdin 02-04-2022.mat,-13.2138976812271,-13.2691344675846
aladdin 05-03-2022.mat,-9.201720605612,-5.55729258348432
aladdin 05-23-2022.mat,-9.16049464091245,-5.6918896902042
aladdin 11-29-2021.mat,-13.3404786579941,-13.9300115263203
alexis 03-17-2022.mat,-13.3877812022263,-12.4536825271378
alexis 06-02-2022.mat,-9.87454862275849,-7.20016165782675
andrea 04-07-2022.mat,-9.13229385303562,-5.89571578064107
andrea 04-16-2022.mat,-10.0331917726362,-6.75951816454413
andrea 05-27-2022.mat,-9.03053112520572,-6.15012752628743
andrea 05-31-2022.mat,-9.03053112520572,-6.15012752628743
carl 03-21-2022.mat,-9.61756211937769,-7.77461323873147
carl 04-27-2022.mat,-9.33410451849414,-5.8943483066207
carl 05-13-2022.mat,-9.63475489907349,-5.51837977344057
harley 01-13-2022.mat,-10.6692752018698,-6.31971461546882
harley 11-29-2021.mat,-14.1591186459083,-14.548593376232
jimi 05-27-2022.mat,-10.2842194312979,-8.17208680942554
jr 01-25-2022.mat,-13.3907731989214,-14.6711181063631
jr 03-04-2022.mat,-10.1023526111812,-7.26054364805656
jr 05-26-2022.mat,-9.1811614891482,-5.64304840575316
jr 11-17-2021.mat,-14.3896939219709,-14.6092100786919
juana 01-06-2022.mat,-15.3733353181647,-11.6213259172694
juana 04-29-2022.mat,-9.18185355444855,-6.2391225730594
juana 06-23-2022.mat,-9.19990305303226,-6.15751587005734
kobe 03-08-2022.mat,-13.6499998457483,-13.9941336490242
kryssia 04-27-2022.mat,-9.09379038401883,-5.45486319631008
kryssia 05-11-2022.mat,-14.1880501105115,-14.3249556802721
neftali 04-26-2022.mat,-9.20612292852327,-5.58266810709983
pepper 05-31-2022.mat,-9.19187290714649,-5.77125757202658
raissa 04-22-2022.mat,-9.50615701153397,-5.98494142257177
raven 01-24-2022.mat,-14.1112390810845,-13.515598933933
renata 04-23-2022.mat,-13.1841342660533,-14.9272768988622
sarah 02-15-2022.mat,-9.17352842481327,-5.70408469665847
scar 04-25-2022.mat,-9.24484394592679,-5.94408885498336
scar 05-19-2022.mat,-9.58743424127769,-6.10781635265424
scar 12-15-2021.mat,-9.48985866637083,-6.65857477020655
shakira 12-14-2021.mat,-13.3498359912645,-13.0448770275555
simba 04-14-2022.mat,-7.23963678535712,-3.52891637915735
slinky 06-14-2022.mat,-9.5508650698063,-5.65969239097864
