rat_cluster_name,rat_cluster_count,rat_total_appeareces
aladdin A1,10,49
aladdin A2,15,49
aladdin A3,24,49
aladdin B1,10,49
aladdin B2,24,49
aladdin B3,15,49
aladdin C1,10,49
aladdin C2,12,49
aladdin C3,24,49
aladdin C4,3,49
aladdin D1,9,31
aladdin D2,16,31
aladdin D3,6,31
aladdin E1,9,31
aladdin E2,16,31
aladdin E3,4,31
aladdin E4,2,31
aladdin F1,9,31
aladdin F2,16,31
aladdin F3,6,31
aladdin G1,25,34
aladdin G2,3,34
aladdin G4,6,34
aladdin H1,6,34
aladdin H2,1,34
aladdin H3,25,34
aladdin H4,2,34
aladdin I1,27,34
aladdin I2,3,34
aladdin I3,4,34
aladdin J1,15,44
aladdin J2,5,44
aladdin J3,8,44
aladdin J4,16,44
aladdin K1,15,44
aladdin K2,5,44
aladdin K3,24,44
aladdin L1,16,44
aladdin L2,15,44
aladdin L3,8,44
aladdin L4,5,44
aladdin M1,5,45
aladdin M2,15,45
aladdin M3,4,45
aladdin M4,21,45
aladdin N1,25,45
aladdin N2,5,45
aladdin N3,15,45
aladdin O1,5,45
aladdin O2,18,45
aladdin O3,22,45
alexis A1,3,40
alexis A2,11,40
alexis A3,26,40
alexis B1,3,40
alexis B2,26,40
alexis B3,11,40
alexis C1,3,40
alexis C2,10,40
alexis C3,26,40
alexis C4,1,40
alexis D1,3,23
alexis D2,12,23
alexis D3,8,23
alexis E1,3,23
alexis E2,12,23
alexis E3,4,23
alexis E4,4,23
alexis F1,3,23
alexis F2,12,23
alexis F3,8,23
alexis G1,24,33
alexis G2,4,33
alexis G3,2,33
alexis G4,3,33
alexis H1,5,33
alexis H2,1,33
alexis H3,24,33
alexis H4,3,33
alexis I1,25,33
alexis I2,4,33
alexis I3,4,33
alexis J1,17,37
alexis J2,5,37
alexis J3,3,37
alexis J4,12,37
alexis K1,17,37
alexis K2,5,37
alexis K3,15,37
alexis L1,12,37
alexis L2,17,37
alexis L3,3,37
alexis L4,5,37
alexis M1,2,45
alexis M2,23,45
alexis M3,2,45
alexis M4,18,45
alexis N1,20,45
alexis N2,2,45
alexis N3,23,45
alexis O1,3,45
alexis O2,21,45
alexis O3,21,45
andrea A1,2,39
andrea A2,13,39
andrea A3,24,39
andrea B1,2,39
andrea B2,24,39
andrea B3,13,39
andrea C1,2,39
andrea C2,13,39
andrea C3,24,39
andrea D1,3,26
andrea D2,22,26
andrea D3,1,26
andrea E1,3,26
andrea E2,22,26
andrea E3,1,26
andrea F1,3,26
andrea F2,22,26
andrea F3,1,26
andrea G1,23,25
andrea G2,1,25
andrea G4,1,25
andrea H1,1,25
andrea H3,23,25
andrea H4,1,25
andrea I1,22,25
andrea I2,1,25
andrea I3,2,25
andrea J1,19,35
andrea J2,3,35
andrea J3,1,35
andrea J4,12,35
andrea K1,19,35
andrea K2,3,35
andrea K3,13,35
andrea L1,12,35
andrea L2,19,35
andrea L3,1,35
andrea L4,3,35
andrea M1,4,46
andrea M2,17,46
andrea M3,9,46
andrea M4,16,46
andrea N1,25,46
andrea N2,4,46
andrea N3,17,46
andrea O1,4,46
andrea O2,26,46
andrea O3,16,46
barbie M2,5,6
barbie M3,1,6
barbie N1,1,6
barbie N3,5,6
barbie O2,6,6
bopeep M2,8,8
bopeep N3,8,8
bopeep O2,8,8
buttercup M1,1,7
buttercup M2,2,7
buttercup M3,1,7
buttercup M4,3,7
buttercup N1,5,7
buttercup N3,2,7
buttercup O2,3,7
buttercup O3,4,7
buzz M2,4,8
buzz M3,1,8
buzz M4,3,8
buzz N1,4,8
buzz N3,4,8
buzz O2,5,8
buzz O3,3,8
captain M2,3,8
captain M4,5,8
captain N1,5,8
captain N3,3,8
captain O2,3,8
captain O3,5,8
carl A1,4,39
carl A2,9,39
carl A3,26,39
carl B1,4,39
carl B2,26,39
carl B3,9,39
carl C1,4,39
carl C2,9,39
carl C3,26,39
carl D1,1,20
carl D2,14,20
carl D3,5,20
carl E1,1,20
carl E2,14,20
carl E3,1,20
carl E4,4,20
carl F1,1,20
carl F2,14,20
carl F3,5,20
carl G1,13,25
carl G2,5,25
carl G3,1,25
carl G4,6,25
carl H1,7,25
carl H2,1,25
carl H3,13,25
carl H4,4,25
carl I1,13,25
carl I2,5,25
carl I3,7,25
carl J1,17,35
carl J2,4,35
carl J3,5,35
carl J4,9,35
carl K1,17,35
carl K2,4,35
carl K3,14,35
carl L1,9,35
carl L2,17,35
carl L3,5,35
carl L4,4,35
carl M1,3,46
carl M2,23,46
carl M3,4,46
carl M4,16,46
carl N1,20,46
carl N2,3,46
carl N3,23,46
carl O1,3,46
carl O2,24,46
carl O3,19,46
fiona A1,4,36
fiona A2,21,36
fiona A3,11,36
fiona B1,4,36
fiona B2,11,36
fiona B3,21,36
fiona C1,4,36
fiona C2,18,36
fiona C3,11,36
fiona C4,3,36
fiona D1,1,21
fiona D2,19,21
fiona D3,1,21
fiona E1,1,21
fiona E2,19,21
fiona E3,1,21
fiona F1,1,21
fiona F2,19,21
fiona F3,1,21
fiona G1,35,36
fiona G4,1,36
fiona H1,1,36
fiona H3,35,36
fiona I1,35,36
fiona I3,1,36
fiona J1,9,35
fiona J2,3,35
fiona J3,5,35
fiona J4,18,35
fiona K1,9,35
fiona K2,3,35
fiona K3,23,35
fiona L1,18,35
fiona L2,9,35
fiona L3,5,35
fiona L4,3,35
fiona M2,18,39
