clusterLabels,clusterX,clusterY
aladdin 01-04-2022.mat,-4.019,-0.00017974
aladdin 01-19-2022.mat,-3.0771,-0.0009057
aladdin 01-21-2022.mat,-4.9413,-0.00012923
aladdin 02-04-2022.mat,-3.9955,-0.00019549
aladdin 03-23-2022.mat,-5.485,-5.8912e-05
aladdin 04-19-2022.mat,-4.9371,-0.00013667
aladdin 04-26-2022.mat,-4.1591,-0.00015642
aladdin 12-15-2021.mat,-5.309,-0.00011497
alexis 01-12-2022.mat,-4.0505,-0.00017517
alexis 01-13-2022.mat,-6.0112,-0.00011051
alexis 04-06-2022.mat,-5.1718,-0.00015557
alexis 05-09-2022.mat,-3.9266,-0.00016199
alexis 05-10-2022.mat,-4.6059,-0.00013231
alexis 12-09-2021.mat,-5.5248,-0.00010309
andrea 01-12-2022.mat,-4.3414,-0.00013425
andrea 03-11-2022.mat,-5.6732,-8.3317e-05
andrea 04-06-2022.mat,-4.6208,-0.00012586
andrea 04-07-2022.mat,-4.3459,-0.00016436
andrea 04-11-2022.mat,-4.4239,-0.00012179
andrea 04-14-2022.mat,-5.1372,-8.7835e-05
andrea 04-15-2022.mat,-5.5044,-7.6965e-05
andrea 04-19-2022.mat,-5.0556,-6.9253e-05
andrea 04-23-2022.mat,-4.7455,-0.00012939
andrea 04-29-2022.mat,-5.0608,-9.6826e-05
andrea 05-04-2022.mat,-4.7531,-0.00013588
andrea 05-13-2022.mat,-4.5758,-0.00011175
andrea 05-16-2022.mat,-4.6435,-0.000118
andrea 11-10-2021.mat,-4.5124,-0.00013545
carl 01-25-2022.mat,-5.5513,-7.0684e-05
carl 02-16-2022.mat,-4.0727,-0.00016758
carl 05-05-2022.mat,-4.4323,-0.00015812
carl 05-16-2022.mat,-5.3409,-6.4606e-05
carl 11-30-2021.mat,-4.47,-0.00012351
fiona 02-01-2022.mat,-5.2572,-0.00011039
fiona 04-06-2022.mat,-4.4379,-0.00012667
fiona 04-16-2022.mat,-5.0708,-0.00013994
harley 01-13-2022.mat,-4.9399,-8.204e-05
harley 01-26-2022.mat,-5.0803,-0.00010143
harley 01-28-2022.mat,-5.3228,-9.8025e-05
harley 02-15-2022.mat,-4.7763,-0.00010549
harley 04-08-2022.mat,-4.563,-0.00016616
harley 04-11-2022.mat,-10.0971,-8.7415e-07
harley 04-13-2022.mat,-4.6674,-7.6664e-05
harley 04-14-2022.mat,-4.8761,-0.00011081
harley 04-15-2022.mat,-4.8339,-0.0001253
harley 04-26-2022.mat,-4.7361,-9.8242e-05
harley 05-02-2022.mat,-5.2089,-7.2299e-05
harley 05-13-2022.mat,-4.9186,-8.47e-05
jafar 01-20-2022.mat,-4.7795,-0.00024999
jafar 01-25-2022.mat,-4.8365,-7.7469e-05
jafar 04-26-2022.mat,-4.31,-0.00016611
jafar 04-27-2022.mat,-5.1604,-9.9806e-05
jafar 11-17-2021.mat,-5.0216,-7.1146e-05
jimi 01-11-2022.mat,-5.6606,-7.9714e-05
jimi 01-31-2022.mat,-5.0415,-0.00012198
jimi 02-04-2022.mat,-4.7699,-0.00012723
jimi 04-03-2022.mat,-4.4063,-0.00012419
jimi 04-26-2022.mat,-4.7029,-0.00011078
jimi 11-21-2021.mat,-4.8561,-8.2347e-05
johnny 01-11-2022.mat,-4.6224,-0.00010674
johnny 04-07-2022.mat,-3.6782,-0.00052697
johnny 04-15-2022.mat,-6.4846,-0.00016176
johnny 04-16-2022.mat,-6.4846,-0.00016176
johnny 11-16-2021.mat,-4.6589,-0.00010323
jr 01-19-2022.mat,-4.5615,-0.0001131
jr 02-02-2022.mat,-4.8201,-7.9172e-05
jr 02-16-2022.mat,-5.1176,-0.00010922
jr 04-03-2022.mat,-4.7429,-9.4652e-05
jr 04-22-2022.mat,-5.1894,-0.00010891
jr 05-04-2022.mat,-5.4304,-6.8082e-05
jr 05-11-2022.mat,-5.3165,-0.00010113
jr 11-11-2021.mat,-4.5023,-0.00017394
juana 04-21-2022.mat,-4.661,-0.00010224
juana 11-11-2021.mat,-4.5627,-0.00016502
juana 11-24-2021.mat,-4.6329,-0.00011743
kobe 01-25-2022.mat,-5.6398,-8.6071e-05
kobe 02-04-2022.mat,-5.1319,-0.0001003
kobe 03-23-2022.mat,-5.5339,-6.5065e-05
kobe 04-08-2022.mat,-4.8842,-0.00014296
kobe 04-26-2022.mat,-4.9264,-7.7041e-05
kobe 05-03-2022.mat,-4.6496,-0.0001008
kobe 05-04-2022.mat,-4.6838,-0.00016876
kobe 05-13-2022.mat,-4.4613,-0.00024033
kryssia 01-28-2022.mat,-4.8427,-0.00013148
kryssia 02-15-2022.mat,-5.5982,-3.5462e-05
kryssia 03-22-2022.mat,-5.2812,-7.7192e-05
kryssia 04-12-2022.mat,-4.6578,-0.00011925
kryssia 04-13-2022.mat,-4.6415,-0.0001007
kryssia 04-16-2022.mat,-5.4339,-7.3549e-05
kryssia 05-03-2022.mat,-5.4252,-5.1627e-05
kryssia 12-14-2021.mat,-4.6535,-0.00012167
mike 01-21-2022.mat,-5.155,-0.00013371
mike 04-03-2022.mat,-5.4046,-8.4196e-05
neftali 01-20-2022.mat,-4.6655,-0.0002195
neftali 03-22-2022.mat,-4.7594,-0.00012987
neftali 04-18-2022.mat,-4.3782,-0.00010218
neftali 04-20-2022.mat,-4.966,-0.00010322
neftali 04-23-2022.mat,-3.6418,-0.00034156
neftali 04-26-2022.mat,-4.6163,-0.00011568
neftali 04-27-2022.mat,-4.2198,-0.00019093
neftali 04-29-2022.mat,-3.9309,-0.00023617
raissa 01-12-2022.mat,-5.5303,-6.1094e-05
raissa 02-15-2022.mat,-5.2387,-8.1121e-05
raissa 04-12-2022.mat,-4.5413,-0.0001608
raissa 04-14-2022.mat,-4.669,-0.00014337
raissa 04-15-2022.mat,-4.9886,-9.8317e-05
raissa 04-22-2022.mat,-4.8786,-0.00013242
raissa 04-26-2022.mat,-4.7964,-0.00011299
raven 04-14-2022.mat,-4.9439,-0.00010132
raven 04-27-2022.mat,-4.6458,-0.00010751
raven 12-14-2021.mat,-4.9587,-8.4817e-05
renata 04-14-2022.mat,-4.9118,-0.00014568
renata 04-21-2022.mat,-5.026,-0.00010687
renata 04-27-2022.mat,-4.5503,-0.00013421
renata 05-05-2022.mat,-4.9299,-0.00011823
sarah 03-24-2022.mat,-5.2308,-8.357e-05
sarah 04-25-2022.mat,-4.7389,-0.00013518
sarah 05-04-2022.mat,-5.1323,-0.00011632
scar 01-05-2022.mat,-7.4979,-9.8863e-06
scar 01-07-2022.mat,-4.9458,-0.00012017
scar 04-27-2022.mat,-4.9702,-0.00011803
scar 05-02-2022.mat,-5.2633,-9.2449e-05
scar 05-04-2022.mat,-4.7355,-0.00012217
scar 05-16-2022.mat,-5.4933,-9.0737e-05
scar 11-16-2021.mat,-4.7539,-0.00011149
shakira 04-08-2022.mat,-4.2772,-0.0002612
shakira 04-15-2022.mat,-5.6105,-0.00011106
shakira 04-18-2022.mat,-4.9646,-0.000135
shakira 05-16-2022.mat,-4.3038,-0.00025591
simba 01-21-2022.mat,-5.4715,-9.9601e-05
simba 01-27-2022.mat,-5.0688,-0.00012102
simba 02-16-2022.mat,-5.2852,-9.9497e-05
simba 04-11-2022.mat,-4.8049,-0.00013008
simba 04-16-2022.mat,-4.919,-0.00023303
simba 04-21-2022.mat,-4.7264,-0.00014298
simba 12-14-2021.mat,-4.6578,-0.00040865
sully 01-21-2022.mat,-5.3623,-8.1946e-05
sully 02-16-2022.mat,-5.5636,-8.5032e-05
sully 02-18-2022.mat,-7.9667,-8.5757e-06
sully 04-14-2022.mat,-6.6974,-0.00011532
sully 04-22-2022.mat,-4.9485,-0.00016416
sully 04-27-2022.mat,-4.6396,-0.00025011
sully 05-11-2022.mat,-5.2757,-0.00010677
sully 11-17-2021.mat,-4.0792,-0.00018829
