clusterLabels,clusterX,clusterY
aladdin 01-12-2022.mat,-4.3247,-0.00016037
aladdin 04-08-2022.mat,-4.7552,-0.00013336
aladdin 04-11-2022.mat,-4.079,-0.00016832
aladdin 04-22-2022.mat,-5.2196,-8.9746e-05
aladdin 04-26-2022.mat,-4.1591,-0.00015642
aladdin 05-16-2022.mat,-5.0912,-9.168e-05
aladdin 05-17-2022.mat,-6.6634,-0.00016182
aladdin 11-11-2021.mat,-3.5972,-0.00028073
aladdin 12-01-2021.mat,-4.4276,-0.00013412
aladdin 12-02-2021.mat,-4.4276,-0.00013412
alexis 04-06-2022.mat,-5.1718,-0.00015557
alexis 04-11-2022.mat,-4.1908,-0.00016877
alexis 04-12-2022.mat,-7.4563,-9.189e-06
alexis 04-13-2022.mat,-5.4126,-9.9614e-05
alexis 04-19-2022.mat,-4.0084,-0.00016994
alexis 04-26-2022.mat,-4.986,-0.00014309
alexis 05-04-2022.mat,-5.4538,-6.5456e-05
alexis 05-10-2022.mat,-4.6059,-0.00013231
alexis 05-13-2022.mat,-4.3818,-0.00013148
alexis 05-20-2022.mat,-4.3555,-0.00014132
alexis 12-09-2021.mat,-5.5248,-0.00010309
alexis 12-14-2021.mat,-12.4648,-1.2914e-06
andrea 01-24-2022.mat,-4.9094,-0.00014736
andrea 01-28-2022.mat,-5.8699,-6.2476e-05
andrea 04-06-2022.mat,-4.6208,-0.00012586
andrea 04-07-2022.mat,-4.3459,-0.00016436
andrea 04-14-2022.mat,-5.1372,-8.7835e-05
andrea 04-15-2022.mat,-5.5044,-7.6965e-05
andrea 04-19-2022.mat,-5.0556,-6.9253e-05
andrea 04-23-2022.mat,-4.7455,-0.00012939
andrea 04-29-2022.mat,-5.0608,-9.6826e-05
andrea 05-02-2022.mat,-4.3254,-0.00015531
andrea 05-13-2022.mat,-4.5758,-0.00011175
andrea 11-24-2021.mat,-4.567,-0.00015063
andrea 12-14-2021.mat,-4.5582,-0.00011416
carl 01-14-2022.mat,-4.8323,-0.00012603
carl 01-21-2022.mat,-5.2922,-7.7904e-05
carl 11-17-2021.mat,-4.4632,-0.00012391
carl 11-30-2021.mat,-4.47,-0.00012351
carl 12-15-2021.mat,-4.8927,-7.7416e-05
fiona 01-24-2022.mat,-4.455,-0.00012374
fiona 01-26-2022.mat,-5.2784,-0.00013598
fiona 02-01-2022.mat,-5.2572,-0.00011039
fiona 02-17-2022.mat,-4.4982,-0.00023142
fiona 04-06-2022.mat,-4.4379,-0.00012667
fiona 04-11-2022.mat,-4.5795,-0.00011134
fiona 04-16-2022.mat,-5.0708,-0.00013994
fiona 05-16-2022.mat,-5.4212,-6.9672e-05
fiona 05-20-2022.mat,-4.6164,-0.00011365
harley 01-12-2022.mat,-6.1749,-4.0454e-05
harley 01-13-2022.mat,-4.9399,-8.204e-05
harley 04-03-2022.mat,-4.2868,-0.00016821
harley 04-08-2022.mat,-4.563,-0.00016616
harley 04-12-2022.mat,-4.6929,-0.00011022
harley 04-14-2022.mat,-4.8761,-0.00011081
harley 04-15-2022.mat,-4.8339,-0.0001253
harley 04-22-2022.mat,-4.3039,-0.00016427
harley 04-23-2022.mat,-5.0697,-6.9444e-05
harley 04-26-2022.mat,-4.7361,-9.8242e-05
harley 04-29-2022.mat,-4.8303,-0.00017051
harley 05-02-2022.mat,-5.2089,-7.2299e-05
jafar 01-14-2022.mat,-4.6054,-0.00017098
jafar 02-16-2022.mat,-5.6414,-6.4407e-05
jafar 02-18-2022.mat,-5.4038,-7.4324e-05
jafar 03-23-2022.mat,-11.6268,-2.9042e-06
jafar 05-11-2022.mat,-5.003,-0.0001144
jafar 05-13-2022.mat,-5.336,-9.4651e-05
jafar 05-23-2022.mat,-5.1615,-0.0001007
jafar 11-11-2021.mat,-5.1615,-0.0001007
jafar 11-23-2021.mat,-4.3998,-0.00012979
jafar 12-15-2021.mat,-4.3652,-0.0001353
jimi 04-07-2022.mat,-4.4063,-0.00012419
jimi 05-02-2022.mat,-4.6222,-0.00010492
jimi 05-03-2022.mat,-7.3547,-7.537e-05
jimi 05-04-2022.mat,-4.9098,-9.328e-05
jimi 05-11-2022.mat,-4.7437,-0.00014223
jimi 12-09-2021.mat,-3.61,-0.00028033
jimi 12-13-2021.mat,-3.61,-0.00028033
johnny 01-05-2022.mat,-4.6224,-0.00010674
johnny 01-12-2022.mat,-4.7578,-0.00010016
johnny 04-15-2022.mat,-6.4846,-0.00016176
johnny 04-16-2022.mat,-6.4846,-0.00016176
johnny 04-19-2022.mat,-5.0191,-0.00010059
johnny 05-03-2022.mat,-4.5923,-0.00020325
johnny 05-04-2022.mat,-5.1332,-0.0001117
johnny 05-10-2022.mat,-4.5392,-0.00011645
johnny 11-16-2021.mat,-4.6589,-0.00010323
jr 01-19-2022.mat,-4.5615,-0.0001131
jr 01-21-2022.mat,-3.6132,-0.00051391
jr 02-18-2022.mat,-4.4835,-0.00016828
jr 04-03-2022.mat,-4.7429,-9.4652e-05
jr 04-14-2022.mat,-6.5761,-0.00015324
jr 04-25-2022.mat,-5.3739,-6.6914e-05
jr 05-11-2022.mat,-5.3165,-0.00010113
jr 05-16-2022.mat,-4.4464,-0.00026772
jr 11-11-2021.mat,-4.5023,-0.00017394
juana 01-06-2022.mat,-4.6953,-0.00014568
juana 01-25-2022.mat,-5.1912,-5.1352e-05
juana 05-13-2022.mat,-4.8154,-9.8355e-05
juana 11-11-2021.mat,-4.5627,-0.00016502
juana 11-24-2021.mat,-4.6329,-0.00011743
kobe 04-26-2022.mat,-4.9264,-7.7041e-05
kobe 05-20-2022.mat,-4.7761,-0.00013265
kryssia 01-28-2022.mat,-4.8427,-0.00013148
kryssia 02-01-2022.mat,-4.9974,-0.00011838
kryssia 02-15-2022.mat,-5.5982,-3.5462e-05
kryssia 04-18-2022.mat,-5.08,-9.5534e-05
kryssia 05-03-2022.mat,-5.4252,-5.1627e-05
kryssia 05-04-2022.mat,-4.4158,-0.00012703
kryssia 12-14-2021.mat,-4.6535,-0.00012167
mike 01-21-2022.mat,-5.155,-0.00013371
mike 04-08-2022.mat,-5.1388,-0.00013008
mike 05-04-2022.mat,-5.3818,-0.00010731
neftali 01-06-2022.mat,-5.4497,-8.0836e-05
neftali 01-20-2022.mat,-4.6655,-0.0002195
neftali 01-24-2022.mat,-4.7064,-0.00015223
neftali 01-28-2022.mat,-4.8368,-0.00014659
neftali 04-18-2022.mat,-4.3782,-0.00010218
neftali 04-20-2022.mat,-4.966,-0.00010322
neftali 04-26-2022.mat,-4.6163,-0.00011568
neftali 04-27-2022.mat,-4.2198,-0.00019093
neftali 05-04-2022.mat,-5.1893,-6.3486e-05
neftali 05-11-2022.mat,-4.9549,-0.00010508
neftali 05-17-2022.mat,-11.6889,-1.4233e-06
neftali 05-19-2022.mat,-5.0054,-7.2698e-05
raissa 01-12-2022.mat,-5.5303,-6.1094e-05
raissa 01-26-2022.mat,-5.0247,-0.00011384
raissa 04-07-2022.mat,-4.6211,-0.00018369
raissa 04-15-2022.mat,-4.9886,-9.8317e-05
raissa 05-02-2022.mat,-5.225,-5.6834e-05
raissa 05-19-2022.mat,-4.8752,-0.00013293
raissa 11-19-2021.mat,-11.9449,-1.6553e-06
raven 04-15-2022.mat,-4.8179,-0.00012364
raven 04-20-2022.mat,-4.7742,-9.5449e-05
raven 04-27-2022.mat,-4.6458,-0.00010751
raven 04-28-2022.mat,-3.8805,-0.00024832
raven 05-04-2022.mat,-4.4776,-0.00012053
renata 01-06-2022.mat,-4.7462,-0.00012909
renata 01-12-2022.mat,-5.3218,-9.5768e-05
renata 04-08-2022.mat,-5.4875,-7.7411e-05
renata 05-12-2022.mat,-4.8555,-0.00013389
renata 05-19-2022.mat,-4.2531,-0.0002189
renata 05-20-2022.mat,-5.3136,-0.00011774
sarah 01-28-2022.mat,-5.1795,-0.00011584
sarah 03-24-2022.mat,-5.2308,-8.357e-05
sarah 04-14-2022.mat,-4.9639,-0.00012908
sarah 04-25-2022.mat,-4.7389,-0.00013518
sarah 04-28-2022.mat,-4.629,-0.00013293
sarah 05-03-2022.mat,-5.1302,-0.00010687
sarah 05-04-2022.mat,-5.1323,-0.00011632
sarah 05-11-2022.mat,-4.89,-8.0289e-05
sarah 05-12-2022.mat,-4.5942,-9.8466e-05
sarah 05-13-2022.mat,-4.6831,-9.5729e-05
sarah 05-16-2022.mat,-4.6831,-9.5729e-05
sarah 12-15-2021.mat,-7.4979,-9.8863e-06
scar 02-04-2022.mat,-5.2589,-0.00011755
scar 05-17-2022.mat,-4.7912,-0.00015087
scar 05-19-2022.mat,-5.2381,-8.1171e-05
scar 05-23-2022.mat,-4.6112,-0.00014269
shakira 04-08-2022.mat,-4.2772,-0.0002612
shakira 11-05-2021.mat,-4.3741,-9.8203e-05
simba 04-03-2022.mat,-5.1041,-7.7392e-05
simba 04-08-2022.mat,-4.8049,-0.00013008
simba 04-21-2022.mat,-4.7264,-0.00014298
simba 04-22-2022.mat,-5.8872,-5.6245e-05
simba 12-02-2021.mat,-11.6332,-2.3712e-07
simba 12-14-2021.mat,-4.6578,-0.00040865
