clusterLabels,clusterX,clusterY
aladdin 01-04-2022.mat,9.0302,2.5876
aladdin 04-19-2022.mat,7.6708,8.8965
alexis 12-15-2021.mat,9.4082,3.4222
andrea 04-23-2022.mat,8.0076,9.1972
carl 12-15-2021.mat,9.0805,7.822
fiona 01-24-2022.mat,7.5355,8.0708
fiona 04-11-2022.mat,6.9733,9.7062
jafar 01-25-2022.mat,7.0995,7.6382
jafar 11-11-2021.mat,6.2109,9.7984
jr 05-16-2022.mat,7.363,9.5793
jr 11-16-2021.mat,3.819,11.0148
kryssia 04-08-2022.mat,7.3096,8.9472
kryssia 04-12-2022.mat,6.0251,10.0404
renata 04-21-2022.mat,7.4846,9.266
sarah 04-13-2022.mat,7.5803,9.2294
scar 01-05-2022.mat,7.8049,8.9273
