clusterLabels,clusterX,clusterY
aladdin 01-10-2022.mat,-0.66298,0.45617
aladdin 03-21-2022.mat,0.051254,0.54823
aladdin 04-25-2022.mat,-0.50026,4.3368
alexis 04-08-2022.mat,0.15755,2.9261
carl 04-12-2022.mat,-0.49518,2.2532
fiona 04-15-2022.mat,-0.22057,3.1204
fiona 04-25-2022.mat,-0.42052,3.4438
jafar 04-14-2022.mat,-0.77996,-4.0129
jimi 04-12-2022.mat,-0.31884,3.5546
johnny 01-03-2022.mat,0.28768,-2.1972
johnny 04-12-2022.mat,0.18744,3.8038
johnny 04-14-2022.mat,0.046629,3.9856
juana 04-22-2022.mat,0.081961,0.98378
kobe 04-14-2022.mat,-0.079028,1.9757
kryssia 05-17-2022.mat,0.41387,2.9327
raissa 01-13-2022.mat,-0.45424,-3.6853
raissa 04-25-2022.mat,-0.23144,1.6029
renata 05-16-2022.mat,-0.59064,1.7872
sarah 04-07-2022.mat,-0.21749,3.9459
scar 04-06-2022.mat,-0.21683,3.0003
scar 04-08-2022.mat,-0.21683,3.0003
scar 04-14-2022.mat,-0.19784,2.4487
shakira 04-14-2022.mat,-0.15633,1.8746
shakira 04-16-2022.mat,0.039401,3.4122
shakira 05-19-2022.mat,0.12781,2.935
sully 04-16-2022.mat,0.31274,2.6409
sully 04-28-2022.mat,0.32894,3.1257
