clusterLabels,clusterX,clusterY
aladdin 04-27-2022.mat,0.06925,0.64604
alexis 04-23-2022.mat,-0.3103,3.4278
alexis 04-29-2022.mat,-0.91142,3.0066
andrea 02-01-2022.mat,-0.5985,0.51522
andrea 04-25-2022.mat,0.033395,2.206
fiona 04-14-2022.mat,-0.31794,1.6646
fiona 04-26-2022.mat,-0.42052,3.4438
fiona 04-27-2022.mat,-0.42052,3.4438
harley 04-07-2022.mat,-0.22324,0.74685
jimi 01-21-2022.mat,-0.41716,3.4725
jimi 04-15-2022.mat,0.15335,3.0326
jimi 05-17-2022.mat,-0.32317,3.6979
johnny 01-25-2022.mat,-0.74556,3.3986
johnny 05-13-2022.mat,1.2668,4.7413
johnny 05-17-2022.mat,0.041072,4.1277
jr 04-27-2022.mat,-0.36416,3.1256
juana 04-15-2022.mat,0.031863,1.9904
juana 04-20-2022.mat,-0.20489,5.1841
kobe 01-27-2022.mat,-0.1497,3.4501
kobe 05-18-2022.mat,-0.20815,2.9002
neftali 04-14-2022.mat,-0.053316,1.4731
neftali 04-15-2022.mat,-0.29322,1.0464
neftali 04-16-2022.mat,-0.28425,2.7347
neftali 04-21-2022.mat,-0.42054,3.444
neftali 04-25-2022.mat,-0.19785,2.4487
raissa 04-16-2022.mat,0.017343,1.1444
raissa 04-20-2022.mat,0.30461,1.671
raissa 04-23-2022.mat,0.082575,2.598
raissa 04-27-2022.mat,-0.14103,3.2414
raven 04-29-2022.mat,-0.21765,5.2519
raven 05-16-2022.mat,-0.095581,3.7764
raven 05-19-2022.mat,0.083265,2.1928
sarah 03-22-2022.mat,0.086608,3.9355
scar 05-11-2022.mat,0.014897,3.7093
scar 05-13-2022.mat,-0.038355,2.1572
scar 12-13-2021.mat,0.37887,1.1693
shakira 04-07-2022.mat,-0.099444,2.0435
shakira 05-05-2022.mat,-0.40743,2.1494
