subjectid,gender,birthdate,genotype,cagenumber,health,cagemates,experimenter,tasktypedone,notes,intensityofcost1,intensityofcost2,intensityofcost3,intensityofcost4,costprobability1,costprobability2,costprobability3,costprobability4,rewardconcentration1,rewardconcentration2,rewardconcentration3,rewardconcentration4,rewardvolume1,rewardvolume2,rewardvolume3,rewardvolume4,rewardprobability1,rewardprobability2,rewardprobability3,rewardprobability4,mazenumber,approachavoidtimestamp,approachavoid,playstarttrialtone,presentcost,lightlevel,referencetime,videostartime,feeder,stoptrack,trialname,detectionsettings,trialcontrolsettings,referenceduration,animalid,mazeofferdelivery,mazenoofferdelivery,starttime,recordingafter,recordingduration,trialduration,mazecostoff,coordinatetimes,xcoordinates,ycoordinates,presentcostend,costpresenetationfinish,stopincopixrecording,decisionmakingtime,startincopixrecording,date,activezonetimestamp,activezonevalue,presentcostontimestamp,costacknowledgementtimestamp,deliveryacknowledgementtimestamp,coordinatetimes2,xcoordinates2,ycoordinates2,xtail,ytail,xnose,ynose,direction,truextail,trueytail,truexnose,trueynose,truedirection,id
alexis,Female,07/06/2021,CRL: Long Evans,14290,N/A,Sarah,,P2 L2,,10lux,64lux,Uknlux,,Ukn%,Ukn%,0%,,9%,6%,3%,1%,500ul,500ul,500ul,500ul,25%,25%,25%,25%,maze 1,0,0.000000,2,3,1,01/05/2022 15:39:58.1,01/05/2022 15:39:58.0,2,NOT FOUND IN NODULUS,Trial     3,v.1 Detection Settings,P2 Grid L2,0:01:11.1,Alexis,64,11.1,01/05/2022 15:39:58.1,0:00:07.0,0:01:04.1,0:01:11.1,11.1,,,,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,01/05/2022,0,0.000000,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,,,,,,,,,,,,,,53102
sarah,Female,07/06/2021,CRL: Long Evans,14290,N/A,Alexis,,P2 L2,,10lux,64lux,Uknlux,,Ukn%,Ukn%,0%,,9%,6%,3%,1%,500ul,500ul,500ul,500ul,25%,25%,25%,25%,maze 2,0,0.000000,2,3,1,01/05/2022 15:39:58.1,01/05/2022 15:39:58.0,2,NOT FOUND IN NODULUS,Trial     3,v.1 Detection Settings,P2 Grid L2,0:01:11.1,Sarah,64,11.1,01/05/2022 15:39:58.1,0:00:07.0,0:01:04.1,0:01:11.1,11.1,,,,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,01/05/2022,0,0.000000,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,,,,,,,,,,,,,,53103
kryssia,Female,07/06/2021,CRL: Long Evans,14291,N/A,Raven,,P2 L2,,10lux,64lux,Uknlux,,Ukn%,Ukn%,0%,,9%,6%,3%,1%,500ul,500ul,500ul,500ul,25%,25%,25%,25%,maze 3,0,0.000000,2,3,1,01/05/2022 15:39:58.1,01/05/2022 15:39:58.0,2,NOT FOUND IN NODULUS,Trial     3,v.1 Detection Settings,P2 Grid L2,0:01:11.1,Kryssia,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,01/05/2022 15:39:58.1,0:00:07.0,0:01:04.1,0:01:11.1,NOT FOUND IN NODULUS,,,,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,01/05/2022,0,0.000000,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,,,,,,,,,,,,,,53104
raven,Female,07/06/2021,CRL: Long Evans,14291,N/A,Kryssia,,P2 L2,,10lux,64lux,Uknlux,,Ukn%,Ukn%,0%,,9%,6%,3%,1%,500ul,500ul,500ul,500ul,25%,25%,25%,25%,maze 4,0,0.000000,2,3,1,01/05/2022 15:39:58.1,01/05/2022 15:39:58.0,2,NOT FOUND IN NODULUS,Trial     3,v.1 Detection Settings,P2 Grid L2,0:01:11.1,Raven,64,11.1,01/05/2022 15:39:58.1,0:00:07.0,0:01:04.1,0:01:11.1,11.1,,,,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,01/05/2022,0,0.000000,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,,,,,,,,,,,,,,53106
simba,male,07/06/2021,CRL: Long Evans,14300,N/A,Scar,,P2 L2,,10lux,64lux,Uknlux,,Ukn%,Ukn%,0%,,9%,6%,3%,1%,500ul,500ul,500ul,500ul,25%,25%,25%,25%,maze 2,0,0.000000,2,3,1,01/05/2022 15:18:57.2,01/05/2022 15:18:57.2,4,20.1,Trial     8,v.1 Detection Settings,P2 Radial L2,0:00:27.2,Fake Rat og,13.1,11.1,01/05/2022 15:18:57.2,0:00:07.0,0:00:20.2,0:00:27.2,11.1,,,,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,01/05/2022,0,0.000000,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,,,,,,,,,,,,,,53107
jimi,Male,07/06/2021,CRL: Long Evans,14301,N/A,Johnny,,P2 L2,,10lux,64lux,Uknlux,,Ukn%,Ukn%,0%,,9%,6%,3%,1%,500ul,500ul,500ul,500ul,25%,25%,25%,25%,maze 3,0,0.000000,2,3,1,01/05/2022 15:18:57.2,01/05/2022 15:18:57.2,4,20.1,Trial     8,v.1 Detection Settings,P2 Radial L2,0:00:27.2,Scar,13.1,11.1,01/05/2022 15:18:57.2,0:00:07.0,0:00:20.2,0:00:27.2,11.1,,,,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,01/05/2022,0,0.000000,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,,,,,,,,,,,,,,53110
scar,Male,07/06/2021,CRL: Long Evans,14300,N/A,Simba,,P2 L2,,10lux,64lux,Uknlux,,Ukn%,Ukn%,0%,,9%,6%,3%,1%,500ul,500ul,500ul,500ul,25%,25%,25%,25%,maze 1,35.5,1.000000,2,3,1,01/05/2022 15:19:45.7,01/05/2022 15:19:45.6,1,44.5,Trial     9,v.1 Detection Settings,P2 Diagonal L2,0:00:51.6,Fake Rat,35.5,37.5,01/05/2022 15:19:45.7,0:00:07.0,0:00:44.6,0:00:51.6,NOT FOUND IN NODULUS,,,,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,01/05/2022,0,0.000000,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,,,,,,,,,,,,,,53117
simba,male,07/06/2021,CRL: Long Evans,14300,N/A,Scar,,P2 L2,,10lux,64lux,Uknlux,,Ukn%,Ukn%,0%,,9%,6%,3%,1%,500ul,500ul,500ul,500ul,25%,25%,25%,25%,maze 2,0,0.000000,2,3,1,01/05/2022 15:19:45.7,01/05/2022 15:19:45.6,1,44.5,Trial     9,v.1 Detection Settings,P2 Diagonal L2,0:00:51.6,Fake Rat og,37.5,11.1,01/05/2022 15:19:45.7,0:00:07.0,0:00:44.6,0:00:51.6,11.1,,,,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,01/05/2022,0,0.000000,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,,,,,,,,,,,,,,53119
jimi,Male,07/06/2021,CRL: Long Evans,14301,N/A,Johnny,,P2 L2,,10lux,64lux,Uknlux,,Ukn%,Ukn%,0%,,9%,6%,3%,1%,500ul,500ul,500ul,500ul,25%,25%,25%,25%,maze 3,0,0.000000,2,3,1,01/05/2022 15:19:45.7,01/05/2022 15:19:45.6,1,44.5,Trial     9,v.1 Detection Settings,P2 Diagonal L2,0:00:51.6,Scar,37.5,11.1,01/05/2022 15:19:45.7,0:00:07.0,0:00:44.6,0:00:51.6,11.1,,,,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,01/05/2022,0,0.000000,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,,,,,,,,,,,,,,53120
johnny,male,07/06/2021,CRL: Long Evans,14301,N/A,jimi,,P2 L2,,10lux,64lux,Uknlux,,Ukn%,Ukn%,0%,,9%,6%,3%,1%,500ul,500ul,500ul,500ul,25%,25%,25%,25%,maze 4,0,0.000000,2,3,1,01/05/2022 15:19:45.7,01/05/2022 15:19:45.6,1,44.5,Trial     9,v.1 Detection Settings,P2 Diagonal L2,0:00:51.6,Simba,37.5,11.1,01/05/2022 15:19:45.7,0:00:07.0,0:00:44.6,0:00:51.6,11.1,,,,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,01/05/2022,0,0.000000,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,NOT FOUND IN NODULUS,,,,,,,,,,,,,,53123
